Sequence number;Packet Number;RTT [ms]
1775249;1227;14.250000
1776697;1228;14.250000
1778145;1229;14.250000
1779593;1230;14.250000
1781041;1231;14.250000
1782489;1232;14.125000
1783937;1233;14.125000
1785385;1234;14.125000
1786833;1235;14.250000
1788281;1236;14.250000
1789729;1237;14.250000
1791177;1238;14.250000
1792625;1239;14.250000
1794073;1240;14.250000
1795521;1241;14.250000
1796969;1242;14.250000
1798417;1243;14.250000
1799865;1244;14.250000
1801313;1245;14.250000
1802761;1246;14.250000
1804209;1247;14.250000
1805657;1248;14.250000
1807105;1249;14.250000
1808553;1250;14.250000
1810001;1251;14.250000
1811449;1252;14.250000
1812897;1253;14.125000
1814345;1254;14.125000
1815793;1255;14.125000
1817241;1256;14.125000
1818689;1257;14.125000
1820137;1258;14.125000
1821585;1259;14.250000
1823033;1260;14.250000
1824481;1261;14.250000
1825929;1262;14.250000
1827377;1263;14.250000
1828825;1264;14.250000
1830273;1265;14.250000
1831721;1266;14.250000
1833169;1267;14.250000
1834617;1268;14.250000
1836065;1269;14.250000
1837513;1270;14.250000
1838961;1271;14.125000
1840409;1272;14.125000
1841857;1273;14.125000
1843305;1274;14.250000
1844753;1275;14.250000
1846201;1276;14.250000
1847649;1277;14.250000
1849097;1278;14.250000
1850545;1279;14.250000
1851993;1280;14.250000
1853441;1281;14.250000
1854889;1282;14.250000
1856337;1283;14.125000
1857785;1284;14.125000
1859233;1285;14.125000
1860681;1286;14.125000
1862129;1287;14.125000
1863577;1288;14.125000
1865025;1289;14.125000
1866473;1290;14.125000
1867921;1291;14.125000
1869369;1292;14.125000
1870817;1293;14.125000
1872265;1294;14.125000
1873713;1295;14.125000
1875161;1296;14.125000
1876609;1297;14.125000
1878057;1298;0
1879505;1299;0
1880953;1300;0
1882401;1301;0
1883849;1302;0
1885297;1303;14.750000
1886745;1304;14.750000
1888193;1305;14.750000
1889641;1306;14.750000
1891089;1307;14.125000
1892537;1308;14.125000
1893985;1309;14.125000
1895433;1310;14.250000
1896881;1311;14.250000
1898329;1312;14.250000
1899777;1313;14.125000
1901225;1314;14.125000
1902673;1315;14.125000
1904121;1316;14.250000
1905569;1317;14.250000
1907017;1318;14.250000
1908465;1319;14.125000
1909913;1320;14.125000
1911361;1321;14.125000
1912809;1322;14.250000
1914257;1323;14.250000
1915705;1324;14.250000
1917153;1325;14.250000
1918601;1326;14.250000
1920049;1327;14.250000
1921497;1328;14.250000
1922945;1329;14.250000
1924393;1330;14.250000
1925841;1331;14.125000
1927289;1332;14.125000
1928737;1333;14.125000
1930185;1334;14.125000
1931633;1335;14.125000
1933081;1336;14.125000
1934529;1337;14.250000
1935977;1338;14.250000
1937425;1339;14.250000
